x;y;z;p
-0.0003928724943;0.01114566448;0;-0.3704861777
-0.0003928724943;0.01114566448;1;-0.3704861777
-0.0004210362511;0.01211609981;0;-0.40468948
-0.0004210362511;0.01211609981;1;-0.40468948
-0.0004201738338;0.01311201143;0;-0.4271761118
-0.0004201738338;0.01311201143;1;-0.4271761118
-0.0003954666619;0.01413507588;0;-0.4492783059
-0.0003954666619;0.01413507588;1;-0.4492783059
-0.0003422607597;0.01518702625;0;-0.4788782588
-0.0003422607597;0.01518702625;1;-0.4788782588
-0.0002631702088;0.01627008153;0;-0.502378122
-0.0002631702088;0.01627008153;1;-0.502378122
-0.0001609586001;0.01738700769;0;-0.5278161419
-0.0001609586001;0.01738700769;1;-0.5278161419
-3.153778916e-05;0.01854031345;0;-0.5610726624
-3.153778916e-05;0.01854031345;1;-0.5610726624
0.0001246158705;0.01973317316;0;-0.593288726
0.0001246158705;0.01973317316;1;-0.593288726
0.0003085931159;0.02096893145;0;-0.62925312
0.0003085931159;0.02096893145;1;-0.62925312
0.0005239390015;0.02225088417;0;-0.6716222271
0.0005239390015;0.02225088417;1;-0.6716222271
0.0007723122663;0.02358295996;0;-0.7173045466
0.0007723122663;0.02358295996;1;-0.7173045466
0.001057206231;0.02496917799;0;-0.7719401491
0.001057206231;0.02496917799;1;-0.7719401491
0.001394762747;0.02641086394;0;-0.8418836667
0.001394762747;0.02641086394;1;-0.8418836667
0.001789838207;0.02791145323;0;-0.9009821672
0.001789838207;0.02791145323;1;-0.9009821672
0.002251030243;0.0294736189;0;-0.9610375565
0.002251030243;0.0294736189;1;-0.9610375565
0.002783537048;0.03110129834;0;-1.021275143
0.002783537048;0.03110129834;1;-1.021275143
0.00340566436;0.03279395972;0;-1.092027867
0.00340566436;0.03279395972;1;-1.092027867
0.004128184092;0.03455298223;0;-1.148424926
0.004128184092;0.03455298223;1;-1.148424926
0.004960085871;0.03638027925;0;-1.190470357
0.004960085871;0.03638027925;1;-1.190470357
0.005910074093;0.03827802894;0;-1.230574439
0.005910074093;0.03827802894;1;-1.230574439
0.006992513036;0.04024535164;0;-1.257853735
0.006992513036;0.04024535164;1;-1.257853735
0.5279;-0.04703;0;0.07461886043
0.5126667187;-0.04781927293;0;0.07461886043
0.5126667187;-0.04781927293;1;0.07461886043
0.5279;-0.04703;1;0.07461886043
0.4974745454;-0.04841894946;0;0.07487709171
0.4974745454;-0.04841894946;1;0.07487709171
0.4826831924;-0.04879116342;0;0.07963385877
0.4826831924;-0.04879116342;1;0.07963385877
0.4679931409;-0.04899898956;0;0.08373523165
0.4679931409;-0.04899898956;1;0.08373523165
0.4536410261;-0.04902779794;0;0.08782190509
0.4536410261;-0.04902779794;1;0.08782190509
0.4394508273;-0.04887274812;0;0.09274771816
0.4394508273;-0.04887274812;1;0.09274771816
0.4255338058;-0.04851741524;0;0.101214264
0.4255338058;-0.04851741524;1;0.101214264
0.4118367653;-0.04800942648;0;0.1101074554
0.4118367653;-0.04800942648;1;0.1101074554
0.3983482951;-0.04736305813;0;0.1190205816
0.3983482951;-0.04736305813;1;0.1190205816
0.3851252835;-0.04658726284;0;0.128949287
0.3851252835;-0.04658726284;1;0.128949287
0.372056676;-0.04569763022;0;0.139103143
0.372056676;-0.04569763022;1;0.139103143
0.3592889064;-0.04471855296;0;0.1490614428
0.3592889064;-0.04471855296;1;0.1490614428
0.3466287352;-0.04364168633;0;0.1590456433
0.3466287352;-0.04364168633;1;0.1590456433
0.3343005642;-0.04249280645;0;0.1692338766
0.3343005642;-0.04249280645;1;0.1692338766
0.3220380206;-0.04125642303;0;0.1794234648
0.3220380206;-0.04125642303;1;0.1794234648
0.3101390552;-0.03996862739;0;0.1897123582
0.3101390552;-0.03996862739;1;0.1897123582
0.2983006219;-0.03860450375;0;0.1996631438
0.2983006219;-0.03860450375;1;0.1996631438
0.2867906667;-0.03719180768;0;0.2096329304
0.2867906667;-0.03719180768;1;0.2096329304
0.2753974263;-0.0357026894;0;0.2197563012
0.2753974263;-0.0357026894;1;0.2197563012
0.2642565477;-0.0341509602;0;0.230199431
0.2642565477;-0.0341509602;1;0.230199431
0.2533241122;-0.0325284116;0;0.2417769788
0.2533241122;-0.0325284116;1;0.2417769788
0.2425434063;-0.03084740936;0;0.2536998931
0.2425434063;-0.03084740936;1;0.2536998931
0.2320802868;-0.02914605432;0;0.2669522795
0.2320802868;-0.02914605432;1;0.2669522795
0.2217711074;-0.02744507508;0;0.2765925742
0.2217711074;-0.02744507508;1;0.2765925742
0.2116656637;-0.02569813122;0;0.2863177195
0.2116656637;-0.02569813122;1;0.2863177195
0.2018717417;-0.02389707111;0;0.2972273991
0.2018717417;-0.02389707111;1;0.2972273991
0.1923259359;-0.02203600133;0;0.3137348724
0.1923259359;-0.02203600133;1;0.3137348724
0.1830237696;-0.02023744819;0;0.3228996762
0.1830237696;-0.02023744819;1;0.3228996762
0.1740139727;-0.01838766716;0;0.3260760449
0.1740139727;-0.01838766716;1;0.3260760449
0.1653872661;-0.0161762687;0;0.3400584815
0.1653872661;-0.0161762687;1;0.3400584815
0.1571636207;-0.01363432349;0;0.3714941147
0.1571636207;-0.01363432349;1;0.3714941147
